,Ticker,PnL
2016-08-11,VSTO,-5298621.6134745665
2016-10-11,ILMN,-5230030.532696539
2016-10-25,NLSN,-6283945.867568582
2017-06-15,KR,-6108431.195179625
2017-07-12,NRG,5127424.969520123
2017-07-28,MSTR,-6490943.812614993
2017-09-08,EFX,-5981748.751665701
2017-10-20,SKX,9894843.520141728
2017-10-31,SSD,-6300999.906724235
2018-01-12,AFL,-5063386.4066992905
2018-05-11,NLOK,9385997.154687177
2019-01-18,NLS,7433551.1563051855
2019-08-30,ULTA,6403013.198658098
2020-01-31,NAV,8763040.15339527
2020-02-19,GRPN,5256950.624556754
2020-03-17,QDEL,5432037.528155746
2020-03-19,WEC,6054225.336724309
2020-03-20,LANC,6256901.165995721
2020-11-09,REG,5397254.2584812865
